validation_group,domain_type,source_table,event_only_score_column,full_score_column,target,observations,positives,base_rate,event_only_top10_rate,event_only_top10_lift,event_only_top10_positives,event_only_roc_auc,event_only_average_precision,full_top10_rate,full_top10_lift,full_top10_positives,full_roc_auc,full_average_precision,lift_delta_abs,lift_delta_pct,auc_delta_abs,ap_delta_abs
FIFA World Cup 2018,same_family_base,outputs\football_worldcup_twin\multi_competition_scores\fifa_worldcup_2018_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,71838,590,0.008212923522369776,0.02060133630289532,2.508404741232871,148,0.6369197755655109,0.016070502992691686,0.038279510022271715,4.660887188101619,275,0.7416649102490418,0.09898647721874498,2.1524824468687482,0.8581081081081083,0.10474513468353086,0.08291597422605329
FIFA World Cup 2022,same_family_cross_season,outputs\football_worldcup_twin\multi_competition_scores\fifa_worldcup_2022_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,234637,1808,0.00770551958983451,0.019988066825775655,2.5939933826324792,469,0.632044925665564,0.01616805472536594,0.03856972383225366,5.005466975015764,905,0.7482893865439701,0.11234531498075291,2.411473592383285,0.9296375266524519,0.11624446087840612,0.09617726025538698
UEFA Euro 2024,cross_competition_mens_international,outputs\football_worldcup_twin\multi_competition_scores\uefa_euro_2024_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,187924,1140,0.006066282114046103,0.01724046187410206,2.8420145238848735,324,0.6701503721157227,0.014387621509684855,0.028946948331825678,4.771777472201762,544,0.756461504742132,0.06915411272331565,1.9297629483168888,0.679012345679012,0.08631113262640933,0.054766491213630794
Ligue 1 2021/2022,club_transfer,outputs\football_worldcup_twin\multi_competition_scores\ligue1_2021_2022_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,101766,810,0.007959436353988563,0.020536503881300974,2.580145498746265,209,0.6259020920493905,0.01492702321936373,0.037339097966001766,4.691173634084118,380,0.734049859882731,0.0970715144692709,2.1110281353378526,0.8181818181818179,0.10814776783334046,0.08214449124990716
Women's World Cup 2023,gender_transfer,outputs\football_worldcup_twin\multi_competition_scores\wwc_2023_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,226118,1664,0.007358989554126606,0.017114806297541127,2.3257005831655078,387,0.6176154361614098,0.01697605125780863,0.03564479037679109,4.843707157703874,806,0.7290254305040916,0.08990182992849291,2.5180065745383664,1.0826873385012918,0.11140999434268184,0.07292577867068428
