validation_group,domain_type,path,rows,columns,target,event_only_score_column,full_score_column
FIFA World Cup 2018,same_family_base,outputs\football_worldcup_twin\multi_competition_scores\fifa_worldcup_2018_event_level_hybrid_scores_v0_2.csv,71838,55,future_goal_h10,synathra_calibrated_score,hybrid_score_v0_1
FIFA World Cup 2022,same_family_cross_season,outputs\football_worldcup_twin\multi_competition_scores\fifa_worldcup_2022_event_level_hybrid_scores_v0_2.csv,234637,55,future_goal_h10,synathra_calibrated_score,hybrid_score_v0_1
UEFA Euro 2024,cross_competition_mens_international,outputs\football_worldcup_twin\multi_competition_scores\uefa_euro_2024_event_level_hybrid_scores_v0_2.csv,187924,55,future_goal_h10,synathra_calibrated_score,hybrid_score_v0_1
Ligue 1 2021/2022,club_transfer,outputs\football_worldcup_twin\multi_competition_scores\ligue1_2021_2022_event_level_hybrid_scores_v0_2.csv,101766,55,future_goal_h10,synathra_calibrated_score,hybrid_score_v0_1
Women's World Cup 2023,gender_transfer,outputs\football_worldcup_twin\multi_competition_scores\wwc_2023_event_level_hybrid_scores_v0_2.csv,226118,55,future_goal_h10,synathra_calibrated_score,hybrid_score_v0_1
