validation_group,domain_type,source_table,event_only_score_column,full_score_column,target,observations,positives,base_rate,event_only_top10_rate,event_only_top10_lift,event_only_top10_positives,event_only_roc_auc,event_only_average_precision,full_top10_rate,full_top10_lift,full_top10_positives,full_roc_auc,full_average_precision,lift_delta_abs,lift_delta_pct,auc_delta_abs,ap_delta_abs
FIFA World Cup 2018,same_family_base,outputs\football_worldcup_twin\multi_competition_scores\fifa_worldcup_2018_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,71838,590,0.008213,0.020601,2.5084,148,0.63692,0.016071,0.03828,4.6609,275,0.741665,0.098986,2.1525,0.858108,0.104745,0.0829
FIFA World Cup 2022,same_family_cross_season,outputs\football_worldcup_twin\multi_competition_scores\fifa_worldcup_2022_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,234637,1808,0.007706,0.019988,2.594,469,0.632045,0.016168,0.03857,5.0055,905,0.748289,0.112345,2.4115,0.929638,0.116244,0.0962
UEFA Euro 2024,cross_competition_mens_international,outputs\football_worldcup_twin\multi_competition_scores\uefa_euro_2024_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,187924,1140,0.006066,0.01724,2.842,324,0.67015,0.014388,0.028947,4.7718,544,0.756462,0.069154,1.9298,0.679012,0.086311,0.0548
Ligue 1 2021/2022,club_transfer,outputs\football_worldcup_twin\multi_competition_scores\ligue1_2021_2022_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,101766,810,0.007959,0.020537,2.5801,209,0.625902,0.014927,0.037339,4.6912,380,0.73405,0.097072,2.111,0.818182,0.108148,0.0821
Women's World Cup 2023,gender_transfer,outputs\football_worldcup_twin\multi_competition_scores\wwc_2023_event_level_hybrid_scores_v0_2.csv,synathra_calibrated_score,hybrid_score_v0_1,future_goal_h10,226118,1664,0.007359,0.017115,2.3257,387,0.617615,0.016976,0.035645,4.8437,806,0.729025,0.089902,2.518,1.082687,0.11141,0.0729
