group_key,domain_shift_type,target_role,observations,positives,top10_lift,roc_auc,average_precision
FIFA World Cup 2018,same_family_cross_season,base_v0_4,71838,590,4.677835868785625,0.7416649102490418,0.0983945116052505
FIFA World Cup 2022,same_family_cross_season,base_v0_4,234637,1808,4.977812461341645,0.7482893865439701,0.1119041131254003
Ligue 1 2021/2022,club_transfer,v0_5_candidate,101766,810,4.6788284403102125,0.7340498598827311,0.0964293116463096
UEFA Euro 2024,cross_competition_mens_international,base_v0_4,187924,1140,4.763005822436686,0.7564615047421321,0.0690802306687835
Women's World Cup 2023,gender_transfer,v0_5_candidate,226118,1664,4.843707157703874,0.7290254305040916,0.0897536746484996
